gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cell_type
MT-ATP8	6.2821216570802736e-133	0.2659536973184249	0.993	0.988	1.3744653973525932e-128	CD8_mem_T_cells
MT-ND4	2.1957952654755238e-124	-0.3075485301900791	0.982	0.988	4.8041804613338985e-120	CD8_mem_T_cells
MT-ND4	2.1129961118642083e-24	-0.43266357977560466	0.975	0.989	4.623024193147701e-20	CD8_ex_T_cells
MT-ATP8	4.164953896681375e-110	0.43165518700485084	0.985	0.98	9.11250263054918e-106	Tregs
MT-ND3	2.6544677893446356e-105	0.3883253412419214	0.993	0.993	5.807710076307128e-101	Tregs
MT-ATP6	8.837974019580273e-57	0.2724109605223064	0.997	0.995	1.9336603357439677e-52	Tregs
MT-ND2	3.9735961422487924e-35	0.26798920771436086	0.947	0.926	8.693830999626133e-31	Tregs
MT-ND4	2.8243113171884433e-155	0.3663632620202746	0.984	0.984	6.179310730876595e-151	CD4_T_cells
MT-ND3	1.3707509881087138e-141	0.4004671451188928	0.988	0.994	2.999066086883055e-137	CD4_T_cells
MT-ATP8	3.9367553433095137e-94	0.32036776861502236	0.974	0.984	8.613227015626886e-90	CD4_T_cells
MT-ND2	4.446866059572068e-67	0.3200651434208934	0.939	0.925	9.729298251737728e-63	CD4_T_cells
MT-ATP8	2.0899120858626126e-31	0.5541909259569628	0.989	0.989	4.57251865265881e-27	Tcell_prolif
MT-ND3	4.229013467875874e-27	0.4825772268579036	0.989	0.992	9.252658566365625e-23	Tcell_prolif
MT-CO3	2.1930525894260313e-23	-0.3973535034003426	0.989	0.996	4.798179760405214e-19	Tcell_prolif
MT-CYB	3.1134356418581693e-15	-0.3065426778734959	0.994	0.987	6.811885840821489e-11	Tcell_prolif
MT-ND1	4.0941881470927275e-13	-0.3087434797011164	0.994	0.987	8.957674247024179e-9	Tcell_prolif
MT-CO2	1.7900624826318415e-10	-0.2525787601111409	0.989	0.992	3.916477705750206e-6	Tcell_prolif
MT-ND3	4.347657020802309e-21	0.2843634065510483	0.998	0.991	9.512238795813371e-17	NK_cells
MT-ND4	6.482944426481575e-15	-0.3386447627475766	0.992	0.993	1.418403411069904e-10	NK_cells
MT-ND1	5.803694570349374e-52	-0.4912457715995644	0.987	0.997	1.2697903350467394e-47	B_cells_1
MT-CYB	1.6452727012292122e-43	-0.42819425542995226	0.998	1	3.5996921430193935e-39	B_cells_1
MT-CO3	1.568871609550709e-41	-0.3602399176384017	0.998	1	3.4325341945359963e-37	B_cells_1
MT-CO2	1.6949918154845327e-31	-0.2771096290555377	0.999	1	3.708472593098609e-27	B_cells_1
MT-CO1	5.4520848424395936e-24	-0.26639061127978625	1	1	1.1928616426773587e-19	B_cells_1
MT-ATP6	1.1511520821079673e-21	-0.2557245628729259	0.999	1	2.5186056404440215e-17	B_cells_1
MT-ND5	4.278305457850864e-18	-0.3250302275014305	0.988	0.993	9.360504511231906e-14	B_cells_1
MT-CO2	2.8959038866869234e-59	0.5677287647463993	0.991	0.998	6.33594811368232e-55	CD8_act_T_cells
MT-ATP8	2.7827926524338574e-53	0.6222019077988881	0.981	0.981	6.088472044260037e-49	CD8_act_T_cells
MT-ATP6	2.6805445358311347e-33	0.42121624459140916	0.987	0.996	5.86476338994494e-29	CD8_act_T_cells
MT-ND1	5.5423599734480896e-30	0.5052688718639216	0.975	0.941	1.2126129385907075e-25	CD8_act_T_cells
MT-ND2	9.878008724371532e-25	0.5014617554148622	0.921	0.901	2.1612095288052475e-20	CD8_act_T_cells
MT-ND5	1.3753120829723342e-21	0.4140929411254599	0.965	0.932	3.00904530633517e-17	CD8_act_T_cells
MT-ND3	4.3332962519518384e-21	0.33581994448829855	0.987	0.995	9.480818869645428e-17	CD8_act_T_cells
MT-ND4L	1.5766407502751894e-15	0.2846738338748014	0.978	0.996	3.4495322975270865e-11	CD8_act_T_cells
MT-CYB	2.00537549547916e-15	0.2985687537884427	0.991	0.99	4.387561046558854e-11	CD8_act_T_cells
MT-ND4	2.7206143539714747e-15	-0.259372792191205	0.975	0.997	5.95243214505419e-11	CD8_act_T_cells
MT-ND1	6.206968521907112e-20	-0.3359520241684515	0.996	0.989	1.358022642908057e-15	pDCs
MT-CYB	6.664012016000906e-19	-0.34584371624938637	0.996	0.996	1.4580191889808384e-14	pDCs
MT-ATP6	2.2183039721499583e-17	-0.32639741124866894	1	0.996	4.853427260666894e-13	pDCs
MT-CO3	3.9270528673853055e-17	-0.3021301139780279	0.992	0.993	8.59199896855231e-13	pDCs
MT-CO3	2.384436358661051e-17	-0.627855657769143	1	0.995	5.216908309114513e-13	DCs
MT-ND1	3.1269309409353327e-13	-0.5346418831260169	1	0.993	6.841412205672415e-9	DCs
MT-CYB	7.728223161908245e-9	-0.37410913244326327	1	0.995	1.690857945593905e-4	DCs
MT-CO1	1.525624987639134e-8	-0.280431368455039	1	0.995	3.337914910455661e-4	DCs
MT-ATP6	8.050381996293479e-7	-0.29109708645866395	1	0.995	0.0176134307696905	DCs
MT-ND3	3.9763232039653873e-41	0.9372461280384141	0.994	0.973	8.699797537955871e-37	CAFs
MT-ND2	9.386120786114852e-14	0.4314470657686975	0.994	0.984	2.0535893667940684e-9	CAFs
MT-CO2	5.340180096520761e-11	0.28959239391236036	1	0.991	1.1683780033177774e-6	CAFs
MT-ND4L	1.4111144184447878e-10	0.3320832078672047	0.994	0.992	3.0873772361153514e-6	CAFs
MT-ND5	3.0817974025263636e-10	0.38376496954158146	0.982	0.975	6.742664536987431e-6	CAFs
MT-ATP8	3.0640865968873877e-9	0.4258058877942199	0.988	0.979	6.703915065329915e-5	CAFs
MT-ND4	3.625026794407392e-7	0.3895398298176178	0.994	0.991	0.007931196123483933	CAFs
MT-ND3	3.741999148077621e-9	0.4812504337838357	0.986	0.993	8.187119936079026e-5	Endothelial
MT-ND1	5.687010070897964e-8	0.4644745631308562	0.986	0.995	0.0012442609334117655	Endothelial
MT-ND2	2.664116236988725e-7	0.4223774941436145	0.971	0.99	0.005828819914907631	Endothelial
MT-ND3	5.71176372339066e-15	0.7630276661612685	0.981	0.978	1.2496767850406425e-10	Myofibroblasts
MT-ND2	2.9285691158975064e-11	0.6735008760215195	0.963	0.984	6.407416368672154e-7	Myofibroblasts
MT-ATP8	9.334299734145369e-10	0.5576861186442312	1	0.984	2.0422514388336652e-5	Myofibroblasts
MT-ND1	5.7483767062889426e-8	0.46702230830742275	1	0.975	0.0012576873395689578	Myofibroblasts
MT-CO2	3.264300233226977e-7	0.44861774215424166	1	0.991	0.007141962480277303	Myofibroblasts
MT-ND3	6.935041276403651e-9	0.5388949270909764	1	0.97	1.517317680864355e-4	Melanocytes
MT-CO1	9.706728682436661e-30	0.4030773512885415	0.99	0.888	2.123735168430317e-25	Tumor_1
MT-ND4L	2.98131634099701e-17	-0.366858162107067	0.989	0.899	6.522822022467358e-13	Tumor_1
MT-ND2	6.050455054434269e-17	-0.27956020838350826	0.974	0.898	1.3237790613596737e-12	Tumor_1
MT-ND1	2.406240127157931e-13	-0.32327931787145214	0.968	0.898	5.264612774208837e-9	Tumor_1
MT-CYB	4.2802501865159035e-9	-0.36064184330654614	0.982	0.857	9.364759383078146e-5	Tumor_1
