gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cell_type
MT-ND3	1.3567302411281397e-125	0.4228619758075083	0.999	0.987	2.968390094564257e-121	CD8_mem_T_cells
MT-ATP8	2.665402907061484e-86	0.38640654094566473	0.993	0.985	5.831635020359821e-82	CD8_mem_T_cells
MT-ND4	1.4567703979266424e-31	-0.29741268157800116	0.979	0.982	3.187267953623701e-27	CD8_mem_T_cells
MT-ND3	1.4707446558832945e-8	0.30044542723805545	0.999	0.983	3.21784223260706e-4	CD8_ex_T_cells
MT-ND4	8.676822432698076e-7	-0.41130911896410494	0.973	0.974	0.01898401980050012	CD8_ex_T_cells
MT-ND3	4.033437240976833e-83	0.4800344734059201	0.994	0.994	8.824757339533213e-79	Tregs
MT-ATP8	1.1903885303454223e-67	0.4905364823289342	0.987	0.98	2.6044510655427496e-63	Tregs
MT-ND2	3.5527650957975945e-18	0.26792665974538865	0.94	0.933	7.773094753095557e-14	Tregs
MT-ND4	4.494312170467632e-9	-0.29986170197167006	0.974	0.977	9.833105597766133e-5	Tregs
MT-ND3	9.015739317394597e-100	0.5900202204190257	0.98	0.994	1.972553605252764e-95	CD4_T_cells
MT-ATP8	1.264516647302e-33	0.38149351360618633	0.958	0.987	2.766635972632046e-29	CD4_T_cells
MT-ND2	5.033149084903574e-25	0.3478921131153956	0.911	0.928	1.1012026882860531e-20	CD4_T_cells
MT-ND3	3.004871806300493e-25	0.5570016652838792	0.984	0.99	6.574359025004849e-21	Tcell_prolif
MT-CO3	1.5432710782313239e-24	-0.501314818723154	0.984	0.995	3.376522792062314e-20	Tcell_prolif
MT-ATP8	7.525616556817992e-22	0.5537562198603774	0.984	0.987	1.6465296464662083e-17	Tcell_prolif
MT-ND1	1.4688487583309576e-16	-0.4366050255957936	0.992	0.987	3.213694198352302e-12	Tcell_prolif
MT-CYB	6.964097106720502e-11	-0.30832794049144985	0.992	0.984	1.5236748059793786e-6	Tcell_prolif
MT-CO2	2.196839315245673e-9	-0.2935644034924545	0.984	0.99	4.806464737826008e-5	Tcell_prolif
MT-ND2	3.1642428793742747e-8	-0.32304364202284863	0.951	0.982	6.923046995782976e-4	Tcell_prolif
MT-ND3	1.3902893508799985e-27	0.4003295587113809	1	0.991	3.041814070790349e-23	NK_cells
MT-CO2	1.1125947321174907e-19	0.2606493869187436	1	0.997	2.434246014399858e-15	NK_cells
MT-ND4	4.158296329925337e-11	-0.33932426542877225	0.99	0.994	9.097936540243644e-7	NK_cells
MT-ND3	1.5755791151697135e-34	0.42051300685949267	0.998	1	3.447209546079816e-30	B_cells_1
MT-ND1	3.9630419587116137e-32	-0.4603189376508503	0.987	0.995	8.67073950146514e-28	B_cells_1
MT-CYB	2.0576392396816374e-31	-0.4491592874270016	0.998	1	4.501908892499454e-27	B_cells_1
MT-CO3	2.098685269102425e-28	-0.36737820746990035	0.998	1	4.591713500269195e-24	B_cells_1
MT-ATP6	1.0917610909290816e-24	-0.3050537908498936	0.999	1	2.3886640908437376e-20	B_cells_1
MT-CO2	9.864113575209509e-23	-0.2968167767005445	0.999	1	2.1581694091200884e-18	B_cells_1
MT-ND5	5.3686208176302685e-9	-0.2556919029140059	0.988	1	1.1746005486893264e-4	B_cells_1
MT-ND4	2.0528714575980335e-18	-0.5830995928091722	0.978	0.997	4.4914774620787375e-14	CD8_act_T_cells
MT-ATP8	2.842099382822582e-13	0.5843549635988374	0.978	0.981	6.218229239677528e-9	CD8_act_T_cells
MT-CO2	8.292544084969692e-13	0.42050730659066327	0.989	0.998	1.814325720350519e-8	CD8_act_T_cells
MT-CO1	2.3858516451763973e-7	-0.2842653443135763	0.989	0.999	0.005220004814481439	CD8_act_T_cells
MT-ATP6	1.7044550200064756e-6	0.3743133895439703	0.989	0.997	0.03729177138272168	CD8_act_T_cells
MT-ND3	3.4856908000713883e-68	0.5549433529764585	0.99	0.995	7.62634290147619e-64	Macrophages
MT-ND2	2.809477923810441e-23	0.3289283311672757	0.986	0.99	6.146856749504864e-19	Macrophages
MT-ND6	1.670062673454698e-7	0.2592395247709103	0.611	0.513	0.0036539301232515337	Macrophages
MT-CO3	9.530324732229706e-15	-0.3757803323571127	0.99	0.991	2.0851397481645373e-10	pDCs
MT-CYB	3.73032313732342e-14	-0.3478381812602205	1	0.995	8.16157399214991e-10	pDCs
MT-ND1	6.02398397373658e-14	-0.3314650840281832	1	0.985	1.3179874536138263e-9	pDCs
MT-ATP6	8.518213247856188e-14	-0.3343759186355575	1	0.995	1.8636998764984555e-9	pDCs
MT-ND3	1.6861392483253408e-11	1.3178173547254282	1	0.762	3.689104061411013e-7	Plasma_cells
MT-CO3	4.100801876271011e-11	1.4718376269221707	1	0.685	8.972144425093345e-7	Plasma_cells
MT-CO2	4.706806230769987e-10	1.1876525256223283	1	0.892	1.0298021352301655e-5	Plasma_cells
MT-CO1	6.476200213765052e-10	1.250358211806792	1	0.921	1.4169278447696559e-5	Plasma_cells
MT-ATP8	8.321628186815123e-10	1.2494941721886688	1	0.725	1.8206890309932807e-5	Plasma_cells
MT-CYB	2.0369156001366607e-8	1.1655453929383275	1	0.858	4.456567641539e-4	Plasma_cells
MT-ND1	3.162809275065886e-8	0.7487198485632534	1	0.757	6.919910412916653e-4	Plasma_cells
