gene_symbol	gene_biotype
MT-TF	Mitochondrial_genes
MT-RNP1	Mitochondrial_genes
MT-TV	Mitochondrial_genes
MT-RNP2	Mitochondrial_genes
MT-TL1	Mitochondrial_genes
MT-ND1	Mitochondrial_genes
MT-ND2	Mitochondrial_genes
MT-ND3	Mitochondrial_genes
MT-ND4	Mitochondrial_genes
MT-ND5	Mitochondrial_genes
MT-ND6	Mitochondrial_genes
MT-TI	Mitochondrial_genes
MT-TQ	Mitochondrial_genes
MT-TM	Mitochondrial_genes
MT-TW	Mitochondrial_genes
MT-TA	Mitochondrial_genes
MT-TN	Mitochondrial_genes
MT-TC	Mitochondrial_genes
MT-TY	Mitochondrial_genes
MT-CO1	Mitochondrial_genes
MT-CO2	Mitochondrial_genes
MT-CO3	Mitochondrial_genes
MT-TS1	Mitochondrial_genes
MT-TD	Mitochondrial_genes
MT-TK	Mitochondrial_genes
MT-ATP8	Mitochondrial_genes
MT-ATP6	Mitochondrial_genes
MT-T6	Mitochondrial_genes
MT-TR	Mitochondrial_genes
MT-ND4L	Mitochondrial_genes
MT-TH	Mitochondrial_genes
MT-TS2	Mitochondrial_genes
MT-TL2	Mitochondrial_genes
MT-CYB	Mitochondrial_genes
MT-TT	Mitochondrial_genes
MT-TP	Mitochondrial_genes
NDUFA1	Nuclear_encoded_Mitochondrial_genes
NDUFA2	Nuclear_encoded_Mitochondrial_genes
NDUFA3	Nuclear_encoded_Mitochondrial_genes
NDUFA4	Nuclear_encoded_Mitochondrial_genes
NDUFA5	Nuclear_encoded_Mitochondrial_genes
NDUFA6	Nuclear_encoded_Mitochondrial_genes
NDUFA7	Nuclear_encoded_Mitochondrial_genes
NDUFA8	Nuclear_encoded_Mitochondrial_genes
NDUFA9	Nuclear_encoded_Mitochondrial_genes
NDUFA10	Nuclear_encoded_Mitochondrial_genes
NDUFA11	Nuclear_encoded_Mitochondrial_genes
NDUFA12	Nuclear_encoded_Mitochondrial_genes
NDUFA13	Nuclear_encoded_Mitochondrial_genes
NDUFAB1	Nuclear_encoded_Mitochondrial_genes
NDUFAF1	Nuclear_encoded_Mitochondrial_genes
NDUFAF2	Nuclear_encoded_Mitochondrial_genes
NDUFAF3	Nuclear_encoded_Mitochondrial_genes
NDUFAF4	Nuclear_encoded_Mitochondrial_genes
NDUFAF5	Nuclear_encoded_Mitochondrial_genes
NDUFAF6	Nuclear_encoded_Mitochondrial_genes
NDUFAF7	Nuclear_encoded_Mitochondrial_genes
NDUFB1	Nuclear_encoded_Mitochondrial_genes
NDUFB2	Nuclear_encoded_Mitochondrial_genes
NDUFB3	Nuclear_encoded_Mitochondrial_genes
NDUFB4	Nuclear_encoded_Mitochondrial_genes
NDUFB5	Nuclear_encoded_Mitochondrial_genes
NDUFB6	Nuclear_encoded_Mitochondrial_genes
NDUFB7	Nuclear_encoded_Mitochondrial_genes
NDUFB8	Nuclear_encoded_Mitochondrial_genes
NDUFB9	Nuclear_encoded_Mitochondrial_genes
NDUFB10	Nuclear_encoded_Mitochondrial_genes
NDUFB11	Nuclear_encoded_Mitochondrial_genes
NDUFC1	Nuclear_encoded_Mitochondrial_genes
NDUFC2	Nuclear_encoded_Mitochondrial_genes
NDUFS1	Nuclear_encoded_Mitochondrial_genes
NDUFS2	Nuclear_encoded_Mitochondrial_genes
NDUFS3	Nuclear_encoded_Mitochondrial_genes
NDUFS4	Nuclear_encoded_Mitochondrial_genes
NDUFS5	Nuclear_encoded_Mitochondrial_genes
NDUFS6	Nuclear_encoded_Mitochondrial_genes
NDUFS7	Nuclear_encoded_Mitochondrial_genes
NDUFS8	Nuclear_encoded_Mitochondrial_genes
NDUFV1	Nuclear_encoded_Mitochondrial_genes
NDUFV2	Nuclear_encoded_Mitochondrial_genes
NDUFV3	Nuclear_encoded_Mitochondrial_genes
DDX58	Interferon_response_genes
DHX58	Interferon_response_genes
EIF2AK2	Interferon_response_genes
IFIH1	Interferon_response_genes
MX1	Interferon_response_genes
MX2	Interferon_response_genes
MAVS	Interferon_response_genes
OAS1	Interferon_response_genes
OAS2	Interferon_response_genes
OAS3	Interferon_response_genes
PLSCR1	Interferon_response_genes
ISG15	Interferon_response_genes
ISG20	Interferon_response_genes
TLR3	Interferon_response_genes
IRF7	Interferon_response_genes
ZBP-1	Interferon_response_genes
AIM2	Interferon_response_genes
IFI16	Interferon_response_genes
RSAD2	Interferon_response_genes
ADAR1	Interferon_response_genes
ADAR2	Interferon_response_genes
CD274	Interferon_response_genes
PDCD1	Interferon_response_genes
STAT6	Inflammatory_genes
STAT3	Inflammatory_genes
IL6	Inflammatory_genes
IL1B	Inflammatory_genes
TNF	Inflammatory_genes
LIF	Inflammatory_genes
CSF1	Inflammatory_genes
JUN	Inflammatory_genes
